LinkedIn URL,High School
file:///Users/priyankaasurisetty/WebDevProjects/profile1.html,Central High School
file:///Users/priyankaasurisetty/WebDevProjects/profile2.html,Round Rock High School
file:///Users/priyankaasurisetty/WebDevProjects/profile3.html,Marcus High School
file:///Users/priyankaasurisetty/WebDevProjects/profile4.html,Plano East Sr High School
file:///Users/priyankaasurisetty/WebDevProjects/profile5.html,Hebron High School
file:///Users/priyankaasurisetty/WebDevProjects/profile6.html,William Mason High School
file:///Users/priyankaasurisetty/WebDevProjects/profile7.html,High School not found
file:///Users/priyankaasurisetty/WebDevProjects/profile8.html,Heritage High School
file:///Users/priyankaasurisetty/WebDevProjects/profile9.html,Forney High School
file:///Users/priyankaasurisetty/WebDevProjects/profile10.html,Dulles High School
